pathway,hugo_gene
Ionotropic glutamate receptor pathway,Vamp2
Ionotropic glutamate receptor pathway,Stx11
Ionotropic glutamate receptor pathway,Camk2d
Ionotropic glutamate receptor pathway,Snap23
Ionotropic glutamate receptor pathway,Camk2g
Ionotropic glutamate receptor pathway,Vamp3
Ionotropic glutamate receptor pathway,Snap29
Ionotropic glutamate receptor pathway,Pick1
Ionotropic glutamate receptor pathway,Camk2b
Ionotropic glutamate receptor pathway,Slc17a6
Ionotropic glutamate receptor pathway,Vamp8
Ionotropic glutamate receptor pathway,Nsf
De novo pyrimidine deoxyribonucleotide biosynthesis,Nme2
De novo pyrimidine deoxyribonucleotide biosynthesis,Rrm1
De novo pyrimidine deoxyribonucleotide biosynthesis,Rrm2b
De novo pyrimidine deoxyribonucleotide biosynthesis,Nme3
De novo pyrimidine deoxyribonucleotide biosynthesis,Rrm2
De novo pyrimidine deoxyribonucleotide biosynthesis,Adat2
De novo pyrimidine deoxyribonucleotide biosynthesis,Dut
De novo pyrimidine deoxyribonucleotide biosynthesis,Tyms
De novo pyrimidine deoxyribonucleotide biosynthesis,Nme1
De novo pyrimidine deoxyribonucleotide biosynthesis,Dtymk
Vitamin B6 metabolism,Psat1
Vitamin B6 metabolism,Pdxk
Vitamin B6 metabolism,Pnpo
Succinate to proprionate conversion,Echs1
Succinate to proprionate conversion,Mmut
Gonadotropin releasing hormone receptor pathway,Jund
Gonadotropin releasing hormone receptor pathway,Eif2a
Gonadotropin releasing hormone receptor pathway,Grb2
Gonadotropin releasing hormone receptor pathway,Creb1
Gonadotropin releasing hormone receptor pathway,Nfyc
Gonadotropin releasing hormone receptor pathway,Map3k8
Gonadotropin releasing hormone receptor pathway,Map3k10
Gonadotropin releasing hormone receptor pathway,Skil
Gonadotropin releasing hormone receptor pathway,Ptger4
Gonadotropin releasing hormone receptor pathway,Crebbp
Gonadotropin releasing hormone receptor pathway,Itpr2
Gonadotropin releasing hormone receptor pathway,Map3k2
Gonadotropin releasing hormone receptor pathway,Itpr1
Gonadotropin releasing hormone receptor pathway,Map2k4
Gonadotropin releasing hormone receptor pathway,Ar
Gonadotropin releasing hormone receptor pathway,Pknox1
Gonadotropin releasing hormone receptor pathway,Id2
Gonadotropin releasing hormone receptor pathway,Tgif1
Gonadotropin releasing hormone receptor pathway,Atf2
Gonadotropin releasing hormone receptor pathway,Tcf7l1
Gonadotropin releasing hormone receptor pathway,Prkcb
Gonadotropin releasing hormone receptor pathway,Akt1
Gonadotropin releasing hormone receptor pathway,Itgb1
Gonadotropin releasing hormone receptor pathway,Fosb
Gonadotropin releasing hormone receptor pathway,Dusp1
Gonadotropin releasing hormone receptor pathway,Ep300
Gonadotropin releasing hormone receptor pathway,Stat3
Gonadotropin releasing hormone receptor pathway,Sos1
Gonadotropin releasing hormone receptor pathway,Prkcq
Gonadotropin releasing hormone receptor pathway,Junb
Gonadotropin releasing hormone receptor pathway,Adipor1
Gonadotropin releasing hormone receptor pathway,Tgfb1
Gonadotropin releasing hormone receptor pathway,Hras
Gonadotropin releasing hormone receptor pathway,Dgkz
Gonadotropin releasing hormone receptor pathway,Eif2ak3
Gonadotropin releasing hormone receptor pathway,Tcf7
Gonadotropin releasing hormone receptor pathway,Sdf4
Gonadotropin releasing hormone receptor pathway,Ybx3
Gonadotropin releasing hormone receptor pathway,Itga1
Gonadotropin releasing hormone receptor pathway,Atf3
Gonadotropin releasing hormone receptor pathway,Egr1
Gonadotropin releasing hormone receptor pathway,Map2k2
Gonadotropin releasing hormone receptor pathway,Raf1
Gonadotropin releasing hormone receptor pathway,Hspa1b
Gonadotropin releasing hormone receptor pathway,Slc2a1
Gonadotropin releasing hormone receptor pathway,Gnai3
Gonadotropin releasing hormone receptor pathway,Ptger2
Gonadotropin releasing hormone receptor pathway,Map4k1
Gonadotropin releasing hormone receptor pathway,Gsk3b
Gonadotropin releasing hormone receptor pathway,Map3k11
Gonadotropin releasing hormone receptor pathway,Gng2
Gonadotropin releasing hormone receptor pathway,Esrra
Gonadotropin releasing hormone receptor pathway,Adipor2
Gonadotropin releasing hormone receptor pathway,Fos
Gonadotropin releasing hormone receptor pathway,Gna11
Gonadotropin releasing hormone receptor pathway,Jun
Gonadotropin releasing hormone receptor pathway,Itpr3
Gonadotropin releasing hormone receptor pathway,Anxa5
Gonadotropin releasing hormone receptor pathway,Gnb4
Gonadotropin releasing hormone receptor pathway,Rac1
Gonadotropin releasing hormone receptor pathway,Mapk9
Gonadotropin releasing hormone receptor pathway,Pik3r1
Gonadotropin releasing hormone receptor pathway,Ctnnb1
Gonadotropin releasing hormone receptor pathway,Map2k7
Gonadotropin releasing hormone receptor pathway,Prkaa1
Gonadotropin releasing hormone receptor pathway,Prkce
Gonadotropin releasing hormone receptor pathway,Smad2
Gonadotropin releasing hormone receptor pathway,Ncoa3
Gonadotropin releasing hormone receptor pathway,Map3k4
Gonadotropin releasing hormone receptor pathway,Ldb1
Gonadotropin releasing hormone receptor pathway,Tuba1a
Gonadotropin releasing hormone receptor pathway,Map3k7
Gonadotropin releasing hormone receptor pathway,Rela
Gonadotropin releasing hormone receptor pathway,Ppp3ca
Gonadotropin releasing hormone receptor pathway,Rap1b
Gonadotropin releasing hormone receptor pathway,Gnas
Gonadotropin releasing hormone receptor pathway,Gnb1
Gonadotropin releasing hormone receptor pathway,Mapk3
Gonadotropin releasing hormone receptor pathway,Map3k14
Gonadotropin releasing hormone receptor pathway,Prkca
Gonadotropin releasing hormone receptor pathway,Prkab1
Gonadotropin releasing hormone receptor pathway,Nr4a1
Gonadotropin releasing hormone receptor pathway,Mapk1
Gonadotropin releasing hormone receptor pathway,Tuba1b
Gonadotropin releasing hormone receptor pathway,Nr3c1
Gonadotropin releasing hormone receptor pathway,Srf
Gonadotropin releasing hormone receptor pathway,Mapk14
Gonadotropin releasing hormone receptor pathway,Map4k2
Gonadotropin releasing hormone receptor pathway,Cdc42
Gonadotropin releasing hormone receptor pathway,Nab1
Gonadotropin releasing hormone receptor pathway,Map3k1
Gonadotropin releasing hormone receptor pathway,Nppc
Gonadotropin releasing hormone receptor pathway,Nfyb
Gonadotropin releasing hormone receptor pathway,Camk2b
Gonadotropin releasing hormone receptor pathway,Prkcz
Gonadotropin releasing hormone receptor pathway,Prkcd
Gonadotropin releasing hormone receptor pathway,Smad4
Gonadotropin releasing hormone receptor pathway,Map4k4
Gonadotropin releasing hormone receptor pathway,Map2k3
Gonadotropin releasing hormone receptor pathway,Nab2
Gonadotropin releasing hormone receptor pathway,Nfatc3
Gonadotropin releasing hormone receptor pathway,Sos2
Gonadotropin releasing hormone receptor pathway,Gnb2
Gonadotropin releasing hormone receptor pathway,Pea15
Gonadotropin releasing hormone receptor pathway,Tuba1c
Gonadotropin releasing hormone receptor pathway,Ptk2b
Gonadotropin releasing hormone receptor pathway,Sp1
Gonadotropin releasing hormone receptor pathway,Nfatc2
Gonadotropin releasing hormone receptor pathway,Gnai2
Gonadotropin releasing hormone receptor pathway,Nfatc1
Gonadotropin releasing hormone receptor pathway,Map2k1
Gonadotropin releasing hormone receptor pathway,Nfya
Gonadotropin releasing hormone receptor pathway,Mtco2
Gonadotropin releasing hormone receptor pathway,Pxn
Gonadotropin releasing hormone receptor pathway,Hspa1a
Gonadotropin releasing hormone receptor pathway,Zeb1
Gonadotropin releasing hormone receptor pathway,Prkag1
Gonadotropin releasing hormone receptor pathway,Per1
mRNA splicing,Snrnp40
mRNA splicing,Snrpb2
mRNA splicing,Zrsr1
mRNA splicing,Snrpa
mRNA splicing,Prpf19
mRNA splicing,Prpf3
P53 pathway feedback loops 1,Cop1
P53 pathway feedback loops 1,Mdm2
P53 pathway feedback loops 1,Tp53
P53 pathway feedback loops 1,Rchy1
P53 pathway feedback loops 1,Mdm4
FGF signaling pathway,Kras
FGF signaling pathway,Pik3c2a
FGF signaling pathway,Grb2
FGF signaling pathway,Araf
FGF signaling pathway,Pik3cg
FGF signaling pathway,Spry1
FGF signaling pathway,Rac1
FGF signaling pathway,Ppp2cb
FGF signaling pathway,Mapk9
FGF signaling pathway,Ppp2r5c
FGF signaling pathway,Map2k7
FGF signaling pathway,Ywhah
FGF signaling pathway,Prkce
FGF signaling pathway,Ywhae
FGF signaling pathway,Sfn
FGF signaling pathway,Ppp4c
FGF signaling pathway,Map3k4
FGF signaling pathway,Ppp2r5a
FGF signaling pathway,Map3k2
FGF signaling pathway,Ptpn11
FGF signaling pathway,Mapk3
FGF signaling pathway,Ywhab
FGF signaling pathway,Map2k4
FGF signaling pathway,Prkca
FGF signaling pathway,Grap
FGF signaling pathway,Mapk1
FGF signaling pathway,Pik3c3
FGF signaling pathway,Ptpn6
FGF signaling pathway,Prkcb
FGF signaling pathway,Akt1
FGF signaling pathway,Ppp2ca
FGF signaling pathway,Rac2
FGF signaling pathway,Mapk14
FGF signaling pathway,Ywhag
FGF signaling pathway,Ppp6c
FGF signaling pathway,Map3k1
FGF signaling pathway,Prkcz
FGF signaling pathway,Akt2
FGF signaling pathway,Prkch
FGF signaling pathway,Pik3ca
FGF signaling pathway,Ywhaq
FGF signaling pathway,Prkcd
FGF signaling pathway,Pik3cd
FGF signaling pathway,Sos1
FGF signaling pathway,Prkcq
FGF signaling pathway,Plcg1
FGF signaling pathway,Map2k3
FGF signaling pathway,Hras
FGF signaling pathway,Ppp2r2a
FGF signaling pathway,Ppp2r5e
FGF signaling pathway,Ppp2r2d
FGF signaling pathway,Shc1
FGF signaling pathway,Sos2
FGF signaling pathway,Nras
FGF signaling pathway,Map2k1
FGF signaling pathway,Rasa1
FGF signaling pathway,Rhoh
FGF signaling pathway,Map2k2
FGF signaling pathway,Ywhaz
FGF signaling pathway,Raf1
FGF signaling pathway,Ppp2r1b
FGF signaling pathway,Ppp2r5d
FGF signaling pathway,Rasa2
FGF signaling pathway,Ppp2r1a
FGF signaling pathway,Pebp1
Ras Pathway,Mapkapk3
Ras Pathway,Rhob
Ras Pathway,Kras
Ras Pathway,Grb2
Ras Pathway,Jun
Ras Pathway,Araf
Ras Pathway,Pik3cg
Ras Pathway,Rac1
Ras Pathway,Rhoa
Ras Pathway,Mapk9
Ras Pathway,Map2k7
Ras Pathway,Gsk3a
Ras Pathway,Rps6kb1
Ras Pathway,Rala
Ras Pathway,Map3k4
Ras Pathway,Ets1
Ras Pathway,Mapk3
Ras Pathway,Map2k4
Ras Pathway,Mapkapk2
Ras Pathway,Mapk1
Ras Pathway,Pik3c3
Ras Pathway,Rps6ka3
Ras Pathway,Atf2
Ras Pathway,Akt1
Ras Pathway,Srf
Ras Pathway,Rac2
Ras Pathway,Mapk14
Ras Pathway,Rhoc
Ras Pathway,Cdc42
Ras Pathway,Map3k1
Ras Pathway,Pak2
Ras Pathway,Pdpk1
Ras Pathway,Pik3ca
Ras Pathway,Stat1
Ras Pathway,Stat3
Ras Pathway,Pik3cd
Ras Pathway,Sos1
Ras Pathway,Map2k3
Ras Pathway,Hras
Ras Pathway,Shc1
Ras Pathway,Sos2
Ras Pathway,Braf
Ras Pathway,Nras
Ras Pathway,Map2k1
Ras Pathway,Map2k2
Ras Pathway,Raf1
Ras Pathway,Pak3
Ras Pathway,Rps6ka1
Ras Pathway,Gsk3b
Ras Pathway,Exoc2
Pyridoxal phosphate salvage pathway,Pdxk
Pyridoxal phosphate salvage pathway,Pnpo
5HT3 type receptor mediated signaling pathway,Vamp2
5HT3 type receptor mediated signaling pathway,Snap23
5HT3 type receptor mediated signaling pathway,Vamp3
5HT3 type receptor mediated signaling pathway,Slc18a1
5HT3 type receptor mediated signaling pathway,Snap29
5HT3 type receptor mediated signaling pathway,Slc6a4
5HT3 type receptor mediated signaling pathway,Mrpl16
5HT3 type receptor mediated signaling pathway,Vamp8
Salvage pyrimidine ribonucleotides,Cmpk1
Salvage pyrimidine ribonucleotides,Upp1
Salvage pyrimidine ribonucleotides,Uck1
Salvage pyrimidine ribonucleotides,Nme2
Salvage pyrimidine ribonucleotides,Uck2
Salvage pyrimidine ribonucleotides,Nme3
Salvage pyrimidine ribonucleotides,Adat2
Salvage pyrimidine ribonucleotides,Uckl1
Huntington disease,Sin3b
Huntington disease,Fos
Huntington disease,Jun
Huntington disease,Arl4d
Huntington disease,Actb
Huntington disease,Dynll2
Huntington disease,Arf6
Huntington disease,Sin3a
Huntington disease,Rac1
Huntington disease,Arpc5l
Huntington disease,Puf60
Huntington disease,Capns1
Huntington disease,Dync1li2
Huntington disease,Mapk9
Huntington disease,Sprtn
Huntington disease,Map3k10
Huntington disease,Actg1
Huntington disease,Tp53
Huntington disease,Dynll1
Huntington disease,Ap2a1
Huntington disease,Tubb5
Huntington disease,Map2k7
Huntington disease,Crebbp
Huntington disease,Gapdh
Huntington disease,Ap2a2
Huntington disease,Synj1
Huntington disease,Bax
Huntington disease,Arf5
Huntington disease,Cyfip1
Huntington disease,Htt
Huntington disease,Pacsin1
Huntington disease,Rab8a
Huntington disease,Map2k4
Huntington disease,Map3k14
Huntington disease,Arpc1b
Huntington disease,Arfip2
Huntington disease,Dync1i2
Huntington disease,Tubb6
Huntington disease,Casp8
Huntington disease,Cyfip2
Huntington disease,Ncor2
Huntington disease,Arpc1a
Huntington disease,Tubb2a
Huntington disease,Casp3
Huntington disease,Akt1
Huntington disease,Rhog
Huntington disease,Rac2
Huntington disease,Arl4a
Huntington disease,Vat1
Huntington disease,Cdc42
Huntington disease,Actr2
Huntington disease,Hip1r
Huntington disease,Capn1
Huntington disease,Cyc1
Huntington disease,Akt2
Huntington disease,Ep300
Huntington disease,Dync1h1
Huntington disease,Cltb
Huntington disease,Casp6
Huntington disease,Acaca
Huntington disease,Tnfaip8
Huntington disease,Ift57
Huntington disease,Arl1
Huntington disease,Arf4
Huntington disease,Arpc5
Huntington disease,Capn2
Huntington disease,Rhoq
Huntington disease,Arf3
Huntington disease,Ncor1
Huntington disease,Arl4c
Huntington disease,Clta
Huntington disease,Sp1
Huntington disease,Tubb4b
Huntington disease,Rhoh
Huntington disease,Dync1li1
Huntington disease,Arf1
Huntington disease,Apaf1
Huntington disease,Mt-Cyb
Huntington disease,Dctn1
Huntington disease,Capn7
Huntington disease,Hip1
Huntington disease,Tbp
Glycolysis,Tpi1
Glycolysis,Aldoc
Glycolysis,Pfkl
Glycolysis,Hk1
Glycolysis,Hk2
Glycolysis,Pgam1
Glycolysis,Aldoa
Glycolysis,Gapdh
Glycolysis,Bpgm
Glycolysis,Eno1
Glycolysis,Pkm
Glycolysis,Pgk1
O-antigen biosynthesis,Mat2b
O-antigen biosynthesis,Tgds
O-antigen biosynthesis,Gfpt1
Interferon-gamma signaling pathway,Mapk14
Interferon-gamma signaling pathway,Socs6
Interferon-gamma signaling pathway,Socs3
Interferon-gamma signaling pathway,Jak1
Interferon-gamma signaling pathway,Pias2
Interferon-gamma signaling pathway,Ifngr1
Interferon-gamma signaling pathway,Ptpn11
Interferon-gamma signaling pathway,Mapk3
Interferon-gamma signaling pathway,Ifng
Interferon-gamma signaling pathway,Pias1
Interferon-gamma signaling pathway,Stat1
Interferon-gamma signaling pathway,Mapk9
Interferon-gamma signaling pathway,Mapk1
Interferon-gamma signaling pathway,Ptpn6
Interferon-gamma signaling pathway,Jak2
Interferon-gamma signaling pathway,Cish
Interferon-gamma signaling pathway,Pias4
Interferon-gamma signaling pathway,Socs4
Purine metabolism,Pnp
Purine metabolism,Xdh
Purine metabolism,Mtap
Fructose galactose metabolism,Aldoc
Fructose galactose metabolism,Galt
Fructose galactose metabolism,Galk2
Fructose galactose metabolism,Hk1
Fructose galactose metabolism,Hk2
Fructose galactose metabolism,Aldoa
Fructose galactose metabolism,Gale
Fructose galactose metabolism,Galk1
Glutamine glutamate conversion,Glul
Glutamine glutamate conversion,Glud1
Cadherin signaling pathway,Ctnna1
Cadherin signaling pathway,Actr2
Cadherin signaling pathway,Actb
Cadherin signaling pathway,Lyn
Cadherin signaling pathway,Csnk2a2
Cadherin signaling pathway,Fyn
Cadherin signaling pathway,Puf60
Cadherin signaling pathway,Csnk2a1
Cadherin signaling pathway,Actg1
Cadherin signaling pathway,Ptpn1
Cadherin signaling pathway,Ctnnb1
Cadherin signaling pathway,Csnk2b
Cadherin signaling pathway,Gsk3b
Cadherin signaling pathway,Tcf7l1
PLP biosynthesis,Psat1
PLP biosynthesis,Pnpo
Alanine biosynthesis,Bcat1
Alanine biosynthesis,Bcat2
PDGF signaling pathway,Hmgxb3
PDGF signaling pathway,Rhob
PDGF signaling pathway,Fos
PDGF signaling pathway,Kras
PDGF signaling pathway,Grb2
PDGF signaling pathway,Jun
PDGF signaling pathway,Etv3
PDGF signaling pathway,Itpr3
PDGF signaling pathway,Srgap3
PDGF signaling pathway,Araf
PDGF signaling pathway,Pik3cg
PDGF signaling pathway,Erf
PDGF signaling pathway,Rps6kb2
PDGF signaling pathway,Pkn2
PDGF signaling pathway,Pik3r1
PDGF signaling pathway,Usf2
PDGF signaling pathway,Itpr2
PDGF signaling pathway,Mtor
PDGF signaling pathway,Elf1
PDGF signaling pathway,Rps6ka4
PDGF signaling pathway,Gsk3a
PDGF signaling pathway,Rps6kb1
PDGF signaling pathway,Map3k4
PDGF signaling pathway,Ets1
PDGF signaling pathway,Elf2
PDGF signaling pathway,Dlc1
PDGF signaling pathway,Arhgap26
PDGF signaling pathway,Map3k2
PDGF signaling pathway,Elp1
PDGF signaling pathway,Itpr1
PDGF signaling pathway,Mknk1
PDGF signaling pathway,Mapk3
PDGF signaling pathway,Cops5
PDGF signaling pathway,Mapkapk2
PDGF signaling pathway,Nin
PDGF signaling pathway,Prkca
PDGF signaling pathway,Ikbkb
PDGF signaling pathway,Stat4
PDGF signaling pathway,Grap
PDGF signaling pathway,Srgap2
PDGF signaling pathway,Mapk1
PDGF signaling pathway,Pik3c3
PDGF signaling pathway,Gabpa
PDGF signaling pathway,Stat5a
PDGF signaling pathway,Rps6ka3
PDGF signaling pathway,Arhgap27
PDGF signaling pathway,Srf
PDGF signaling pathway,Arhgap9
PDGF signaling pathway,Mknk2
PDGF signaling pathway,Arhgap12
PDGF signaling pathway,Pdpk1
PDGF signaling pathway,Myc
PDGF signaling pathway,Akt2
PDGF signaling pathway,Pik3ca
PDGF signaling pathway,Stat1
PDGF signaling pathway,Stat3
PDGF signaling pathway,Jak3
PDGF signaling pathway,Pik3r5
PDGF signaling pathway,Rab11b
PDGF signaling pathway,Jak2
PDGF signaling pathway,Pik3cd
PDGF signaling pathway,Sos1
PDGF signaling pathway,Plcg1
PDGF signaling pathway,Hras
PDGF signaling pathway,Elk4
PDGF signaling pathway,Mapk6
PDGF signaling pathway,Shc1
PDGF signaling pathway,Sos2
PDGF signaling pathway,Braf
PDGF signaling pathway,Jak1
PDGF signaling pathway,Stat5b
PDGF signaling pathway,Nck1
PDGF signaling pathway,Nras
PDGF signaling pathway,Elf4
PDGF signaling pathway,Vav1
PDGF signaling pathway,Arhgap10
PDGF signaling pathway,Map2k1
PDGF signaling pathway,Stat2
PDGF signaling pathway,Cdk19
PDGF signaling pathway,Rasa1
PDGF signaling pathway,Arhgap1
PDGF signaling pathway,Map2k2
PDGF signaling pathway,Raf1
PDGF signaling pathway,Chuk
PDGF signaling pathway,Vav3
PDGF signaling pathway,Grap2
PDGF signaling pathway,Rps6ka1
PDGF signaling pathway,Fli1
PDGF signaling pathway,Stat6
PDGF signaling pathway,Arhgap15
PDGF signaling pathway,Arhgap4
PDGF signaling pathway,Gsk3b
PDGF signaling pathway,Mycbp
PDGF signaling pathway,Rasa2
De novo pyrmidine ribonucleotides biosythesis,Cmpk1
De novo pyrmidine ribonucleotides biosythesis,Umps
De novo pyrmidine ribonucleotides biosythesis,Nme2
De novo pyrmidine ribonucleotides biosythesis,Nme3
De novo pyrmidine ribonucleotides biosythesis,Ctps2
De novo pyrmidine ribonucleotides biosythesis,Cad
De novo pyrmidine ribonucleotides biosythesis,Nme1
General transcription regulation,Polr2c
General transcription regulation,Taf6
General transcription regulation,Brf1
General transcription regulation,Ctdp1
General transcription regulation,Taf7
General transcription regulation,Taf12
General transcription regulation,Ttf1
General transcription regulation,Gtf2h3
General transcription regulation,Psmc3ip
General transcription regulation,Polr2f
General transcription regulation,Tbpl1
General transcription regulation,Polr2h
General transcription regulation,Gtf2f2
General transcription regulation,Gtf2e1
General transcription regulation,Gtf2h4
General transcription regulation,Gtf2a2
General transcription regulation,Cfap20
General transcription regulation,Gtf2b
General transcription regulation,Gtf2f1
General transcription regulation,Taf8
General transcription regulation,Polr2e
General transcription regulation,Taf2
General transcription regulation,Gtf2e2
General transcription regulation,Taf11
General transcription regulation,Taf1c
General transcription regulation,Gtf2h1
General transcription regulation,Taf9b
General transcription regulation,Polr2d
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Creb1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Arrb2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rap1a
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Cltc
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs16
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs14
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Crebbp
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Adcy7
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gsk3a
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Grk2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Pygb
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Prkar2a
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gng5
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rap1b
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gnb1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Snx13
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Creb3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gng10
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Sstr1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gpsm2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Adrb1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Phkg2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs8
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gngt2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Prkaca
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Calm3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Prkar1a
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Calm1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Prkacb
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Ep300
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Cltb
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Sstr4
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Grk6
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Adora2a
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs19
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Sstr2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gnb2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Clta
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Rgs1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gnai2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Adcy3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Sstr3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gnai3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Tcf3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gsk3b
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Gng2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Calm2
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Crem
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,Creb3l2
JAK/STAT signaling pathway,Mapk14
JAK/STAT signaling pathway,Jak1
JAK/STAT signaling pathway,Pias2
JAK/STAT signaling pathway,Stat5b
JAK/STAT signaling pathway,Socs1
JAK/STAT signaling pathway,Stat2
JAK/STAT signaling pathway,Pias1
JAK/STAT signaling pathway,Stat4
JAK/STAT signaling pathway,Stat1
JAK/STAT signaling pathway,Stat3
JAK/STAT signaling pathway,Stat6
JAK/STAT signaling pathway,Jak3
JAK/STAT signaling pathway,Jak2
JAK/STAT signaling pathway,Stat5a
JAK/STAT signaling pathway,Ptprc
JAK/STAT signaling pathway,Pias4
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Stx12
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Vamp2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Prkar2a
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Stx11
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gngt2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gnb2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Snap23
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Vamp3
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Prkaca
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gng5
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Snap29
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Prkar1a
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gnai2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gnb4
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gnb1
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Prkacb
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gng11
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Prkx
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gng10
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gnai3
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Stx5
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Stx4
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Gng2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway,Vamp8
Beta2 adrenergic receptor signaling pathway,Vamp2
Beta2 adrenergic receptor signaling pathway,Prkar2a
Beta2 adrenergic receptor signaling pathway,Gngt2
Beta2 adrenergic receptor signaling pathway,Gnb2
Beta2 adrenergic receptor signaling pathway,Snap23
Beta2 adrenergic receptor signaling pathway,Vamp3
